,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
От,17.05.2026 0:00:00,,,,,,,,,,,,,
До,21.05.2026 0:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Предупреждение,Номер поезда,Маршрут,Колодец,,Песочница,,Парник,,Первомайск,,Компост,,Смородина,
,,,Приб.,Отпр.,Приб.,Отпр.,Приб.,Отпр.,Приб.,Отпр.,Приб.,Отпр.,Приб.,Отпр.
,6001,Колодец - Первомайск - Смородина,,9:15,9:16,9:16,9:17,9:17,9:18,9:18,9:19,9:19,9:20,
,6003,Колодец - Первомайск - Смородина,,10:30,10:31,10:31,10:32,10:32,10:33,10:33,10:34,10:34,10:35,
,6005,Колодец - Первомайск - Смородина,,11:45,11:46,11:46,11:47,11:47,11:48,11:48,11:49,11:49,11:50,
,6007,Колодец - Первомайск - Смородина,,13:00,13:01,13:01,13:02,13:02,13:03,13:03,13:04,13:04,13:05,
,6009,Колодец - Первомайск - Смородина,,14:15,14:16,14:16,14:17,14:17,14:18,14:18,14:19,14:19,14:20,
,6011,Колодец - Первомайск - Смородина,,15:30,15:31,15:31,15:32,15:32,15:33,15:33,15:34,15:34,15:35,
,6013,Колодец - Первомайск - Смородина,,16:45,16:46,16:46,16:47,16:47,16:48,16:48,16:49,16:49,16:50,
,6015,Колодец - Первомайск - Смородина,,18:00,18:01,18:01,18:02,18:02,18:03,18:03,18:04,18:04,18:05,
,6017,Колодец - Первомайск - Смородина,,19:15,19:16,19:16,19:17,19:17,19:18,19:18,19:19,19:19,19:20,
Это последний поезд на сегодня.,6019,Колодец - Первомайск - Смородина,,20:30,20:31,20:31,20:32,20:32,20:33,20:33,20:34,20:34,20:35,
,,,,,,,,,,,,,,
,6002,Смородина - Первомайск - Колодец,,9:22,9:23,9:23,9:24,9:24,9:25,9:25,9:26,9:26,9:27,
,6004,Смородина - Первомайск - Колодец,,10:37,10:38,10:38,10:39,10:39,10:40,10:40,10:41,10:41,10:42,
,6006,Смородина - Первомайск - Колодец,,11:52,11:53,11:53,11:54,11:54,11:55,11:55,11:56,11:56,11:57,
,6008,Смородина - Первомайск - Колодец,,13:07,13:08,13:08,13:09,13:09,13:10,13:10,13:11,13:11,13:12,
,6010,Смородина - Первомайск - Колодец,,14:22,14:23,14:23,14:24,14:24,14:25,14:25,14:26,14:26,14:27,
,6012,Смородина - Первомайск - Колодец,,15:37,15:38,15:38,15:39,15:39,15:40,15:40,15:41,15:41,15:42,
,6014,Смородина - Первомайск - Колодец,,16:52,16:53,16:53,16:54,16:54,16:55,16:55,16:56,16:56,16:57,
,6016,Смородина - Первомайск - Колодец,,18:07,18:08,18:08,18:09,18:09,18:10,18:10,18:11,18:11,18:12,
,6018,Смородина - Первомайск - Колодец,,19:22,19:23,19:23,19:24,19:24,19:25,19:25,19:26,19:26,19:27,
Это последний поезд на сегодня.,6020,Смородина - Первомайск - Колодец,,20:37,20:38,20:38,20:39,20:39,20:40,20:40,20:41,20:41,20:42,
