,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
От,17.05.2026 0:00:00,,,,,,,,,,,,,
До,30.06.2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,
НЕЧЁТНЫЕ,,,,,,,,,,,,,,
Примечание,Номер поезда,Маршрут,Колодец,,Песочница,,Парник,,Первомайск,,Компост,,Смородина,
,,,Приб.,Отпр.,Приб.,Отпр.,Приб.,Отпр.,Приб.,Отпр.,Приб.,Отпр.,Приб.,Отпр.
,6001,Смородина,,9:16,9:17,9:17,9:18,9:18,9:19,9:19,9:20,9:20,9:21,
,6003,Смородина,,11:16,11:17,11:17,11:18,11:18,11:19,11:19,11:20,11:20,11:21,
,6005,Смородина,,13:16,13:17,13:17,13:18,13:18,13:19,13:19,13:20,13:20,13:21,
,6007,Смородина,,14:16,14:17,14:17,14:18,14:18,14:19,14:19,14:20,14:20,14:21,
,6009,Смородина,,16:16,16:17,16:17,16:18,16:18,16:19,16:19,16:20,16:20,16:21,
,6011,Смородина,,18:16,18:17,18:17,18:18,18:18,18:19,18:19,18:20,18:20,18:21,
,6013,Смородина,,20:16,20:17,20:17,20:18,20:18,20:19,20:19,20:20,20:20,20:21,
,,,,,,,,,,,,,,
НЕЧЁТНЫЕ,,,,,,,,,,,,,,
Примечание,Номер поезда,Маршрут,Смородина,,Компост,,Первомайск,,Парник,,Песочница,,Колодец,
,,,Приб.,Отпр.,Приб.,Отпр.,Приб.,Отпр.,Приб.,Отпр.,Приб.,Отпр.,Приб.,Отпр.
,6002,Колодец,,,,,,9:10,9:11,9:11,9:12,9:12,9:13,
,6022,Первомайск,,9:24,9:25,9:25,9:26,,,,,,,
,6004,Колодец,,,,,,11:10,11:11,11:11,11:12,11:12,11:13,
,6024,Первомайск,,11:24,11:25,11:25,11:26,,,,,,,
,6006,Колодец,,,,,,13:10,13:11,13:11,13:12,13:12,13:13,
,6026,Первомайск,,13:24,13:25,13:25,13:26,,,,,,,
,6008,Колодец,,,,,,14:10,14:11,14:11,14:12,14:12,14:13,
,6028,Первомайск,,14:24,14:25,14:25,14:26,,,,,,,
,6010,Колодец,,,,,,16:10,16:11,16:11,16:12,16:12,16:13,
,6030,Первомайск,,16:24,16:25,16:25,16:26,,,,,,,
,6012,Колодец,,,,,,18:10,18:11,18:11,18:12,18:12,18:13,
,6032,Первомайск,,18:24,18:25,18:25,18:26,,,,,,,
,6014,Колодец,,,,,,20:10,20:11,20:11,20:12,20:12,20:13,
,6034,Первомайск,,20:24,20:25,20:25,20:26,,,,,,,
